unique_key,city
69410715,BROOKLYN
69411858,NEW YORK
69408855,NEW YORK
69404369,NEW YORK
69404282,FAR ROCKAWAY
69401628,RIDGEWOOD
69403691,NEW YORK
69410844,NEW YORK
69409259,BRONX
69410196,BROOKLYN
69409249,BRONX
69405658,QUEENS
69412225,RIDGEWOOD
69409735,NEW YORK
69402199,FRESH MEADOWS
69410605,OAKLAND GARDENS
69403140,QUEENS VILLAGE
69411573,FRESH MEADOWS
69402745,FRESH MEADOWS
69410469,FRESH MEADOWS
69404892,BRONX
69404898,BRONX
69410057,QUEENS
69410167,BROOKLYN
69407306,BROOKLYN
69411911,QUEENS
69401315,BROOKLYN
69401767,OAKLAND GARDENS
69403655,JAMAICA
69407594,BROOKLYN
69412019,ELMHURST
69408964,STATEN ISLAND
69405702,QUEENS
69401823,UNKNOWN
69404293,NEW YORK
69402660,BROOKLYN
69411559,NEW YORK
69410537,CORONA
69403177,OAKLAND GARDENS
69406370,BROOKLYN
69405891,NEW YORK
69401293,BROOKLYN
69410099,LONG ISLAND CITY
69404819,BROOKLYN
69410724,ASTORIA
69412524,BROOKLYN
69406375,BRONX
69409947,BROOKLYN
69407163,BROOKLYN
69412175,WOODSIDE
69407811,BROOKLYN
69404992,NEW YORK
69402685,NEW YORK
69408701,BROOKLYN
69411610,BROOKLYN
69402721,BROOKLYN
69401756,BROOKLYN
69401726,BROOKLYN
69409472,STATEN ISLAND
69412170,JACKSON HEIGHTS
69401287,NEW YORK
69404933,UNKNOWN
69407275,BROOKLYN
69403283,CORONA
69400869,NEW YORK
69410688,JACKSON HEIGHTS
69408703,BROOKLYN
69401821,NEW YORK
69403327,FRESH MEADOWS
69404214,LONG ISLAND CITY
69407778,WOODSIDE
69409041,ASTORIA
69406238,OAKLAND GARDENS
69409236,BROOKLYN
69404827,BROOKLYN
69411896,BRONX
69403030,BRONX
69405939,BRONX
69410289,BRONX
69409200,SOUTH RICHMOND HILL
69402695,BRONX
69405677,BROOKLYN
69404359,JAMAICA
69405262,NEW YORK
69403335,BRONX
69401217,BROOKLYN
69404330,NEW YORK
69412015,FLUSHING
69405455,BROOKLYN
69407258,BROOKLYN
69404886,BROOKLYN
69405809,STATEN ISLAND
69400883,BROOKLYN
69402716,BROOKLYN
69408823,NEW YORK
69406096,NEW YORK
69410322,NEW YORK
69411824,NEW YORK
69407278,BROOKLYN
69407854,RIDGEWOOD
69406377,ELMHURST
69404891,SUNNYSIDE
69407266,BRONX
69411718,NEW YORK
69410726,NEW YORK
69404187,BRONX
69401804,BRONX
69408278,WOODSIDE
69410198,RIDGEWOOD
69405786,BROOKLYN
69404893,BRONX
69407261,NEW YORK
69406323,BROOKLYN
69407785,BROOKLYN
69410310,BRONX
69408710,NEW YORK
69404277,BRONX
69404366,NEW YORK
69404879,STATEN ISLAND
69407700,NEW YORK
69403878,BROOKLYN
69411054,UNKNOWN
69412176,SUNNYSIDE
69404255,JAMAICA
69405889,BROOKLYN
69406360,KEW GARDENS
69412208,JACKSON HEIGHTS
69403328,BROOKLYN
69411639,WOODSIDE
69401319,NEW YORK
69403687,STATEN ISLAND
69403736,BROOKLYN
69407317,NEW YORK
69407859,STATEN ISLAND
69407938,BROOKLYN
69407903,BROOKLYN
69410163,BRONX
69404286,JAMAICA
69401320,STATEN ISLAND
69401817,BRONX
69403484,JAMAICA
69412202,BROOKLYN
69410353,BRONX
69405720,BROOKLYN
69409797,BRONX
69407896,BROOKLYN
69407340,NEW YORK
69403428,BROOKLYN
69410158,UNKNOWN
69401231,BRONX
69408704,BROOKLYN
69401183,WOODSIDE
69402737,BROOKLYN
69405870,BRONX
69406830,FAR ROCKAWAY
69406734,FLUSHING
69406461,NEW YORK
69407292,BROOKLYN
69404287,NEW YORK
69407299,BROOKLYN
69407825,NEW YORK
69405837,BROOKLYN
69401310,JACKSON HEIGHTS
69401898,CORONA
69410335,BROOKLYN
69406356,BROOKLYN
69408711,BROOKLYN
69405929,BROOKLYN
69404576,BROOKLYN
69404354,BROOKLYN
69406462,NEW YORK
69410757,SOUTH OZONE PARK
69404899,JACKSON HEIGHTS
69404234,NEW YORK
69410756,SOUTH OZONE PARK
69411539,BROOKLYN
69402814,NEW YORK
69411646,BROOKLYN
69404860,BROOKLYN
69407211,BRONX
69401216,BROOKLYN
69403429,BROOKLYN
69402772,BROOKLYN
69407177,WOODSIDE
69401326,NEW YORK
69408695,BROOKLYN
69406317,BROOKLYN
69401173,STATEN ISLAND
69404306,NEW YORK
69410271,BRONX
69403404,STATEN ISLAND
69402819,BROOKLYN
69405769,NEW YORK
69401930,NEW YORK
69401802,KEW GARDENS
69407757,BROOKLYN
69408759,JACKSON HEIGHTS
69401202,BROOKLYN
69401180,BROOKLYN
69407850,BRONX
69406826,BROOKLYN
69404862,JACKSON HEIGHTS
69412210,BROOKLYN
69401118,STATEN ISLAND
69405304,BRONX
69409243,ELMHURST
69401803,NEW YORK
69404350,ARVERNE
69402738,BROOKLYN
69403136,UNKNOWN
69412182,MASPETH
69411700,BROOKLYN
69410736,NEW YORK
69406827,BROOKLYN
69401417,FLUSHING
69407490,FLUSHING
69405883,BROOKLYN
69409169,BROOKLYN
69401291,BROOKLYN
69407845,NEW YORK
69406737,NEW YORK
69404871,BRONX
69404877,BROOKLYN
69409765,NEW YORK
69401149,BROOKLYN
69405322,NEW YORK
69412020,BROOKLYN
69409714,ASTORIA
69406354,BROOKLYN
69409109,BRONX
69403310,NEW YORK
69410199,BROOKLYN
69404211,WOODHAVEN
69410157,NEW YORK
69410707,HOWARD BEACH
69404243,BROOKLYN
69407164,ASTORIA
69402417,BROOKLYN
69409187,BROOKLYN
69405003,NEW YORK
69407212,BROOKLYN
69409224,BROOKLYN
69412173,ASTORIA
69410898,NEW YORK
69411678,NEW YORK
69404185,BRONX
69404223,BRONX
69405004,BROOKLYN
69412227,BRONX
69411666,NEW YORK
69404828,JACKSON HEIGHTS
69411216,BRONX
69402204,NEW YORK
69402190,BROOKLYN
69411135,NEW YORK
69404878,JAMAICA
69404010,BROOKLYN
69407906,UNKNOWN
69407822,BROOKLYN
69401131,BROOKLYN
69411115,NEW YORK
69411659,BRONX
69411613,BROOKLYN
69403799,BRONX
69409741,BRONX
69407776,SOUTH RICHMOND HILL
69405005,NEW YORK
69403236,BROOKLYN
69403343,NEW YORK
69405456,NEW YORK
69404688,BRONX
69407097,QUEENS
69402644,BRONX
69406378,SOUTH OZONE PARK
69403430,NEW YORK
69404283,BROOKLYN
69412204,BROOKLYN
69403315,RIDGEWOOD
69408318,BRONX
69405802,WOODSIDE
69404680,CORONA
69409141,BROOKLYN
